source,file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,changed_targets248,pt_source248,mt_source248,tll_source248
train2000,109_005531,005531,2.3001,4.6469,2.9852,3.3107,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1100_011176,011176,1.9025,3.4506,5.6171,3.6567,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1101_010185,010185,1.1507,8.4743,10.3188,6.6479,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1102_005259,005259,0.3591,3.4398,0.889,1.5626,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1103_007637,007637,9.9037,10.1644,47.5157,22.5279,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1104_007857,007857,2.3614,1.428,2.7536,2.181,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1105_004774,004774,1.9983,4.0506,1.8498,2.6329,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1106_009352,009352,3.8762,0.3925,2.9762,2.415,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1107_013082,013082,1.4848,1.213,0.5285,1.0754,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1108_002310,002310,2.446,8.7718,12.344,7.8539,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1109_002125,002125,9.1372,3.4595,2.8509,5.1492,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,110_010865,010865,0.7913,5.6558,6.5094,4.3188,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1110_002695,002695,1.9049,14.2064,2.4608,6.1907,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1111_013475,013475,2.7991,3.7522,5.1285,3.8933,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1112_008905,008905,11.3205,1.8204,18.1527,10.4312,0,TL_L,base_direct_pt,base_direct_mt,sf204_tll246_all_cases_from_196_159_175_logic
train2000,1113_009015,009015,9.2538,12.6171,3.2147,8.3619,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1114_005136,005136,7.2568,5.6686,1.9968,4.9741,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1115_007074,007074,1.9583,1.0841,0.3025,1.115,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1116_003449,003449,7.3578,2.1652,0.3291,3.284,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1117_008093,008093,5.0661,3.1337,4.1724,4.1241,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1118_003227,003227,2.2897,2.5419,2.7088,2.5135,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1119_007488,007488,2.798,0.9303,0.921,1.5498,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,111_013995,013995,9.1238,3.853,2.8039,5.2602,0,MT,base_direct_pt,MT190,base_direct_tll
